Year,Station,Annual Rainfall
1934,ARCHERS POST,
1935,ARCHERS POST,
1936,ARCHERS POST,
1937,ARCHERS POST,
1938,ARCHERS POST,
1939,ARCHERS POST,
1940,ARCHERS POST,
1941,ARCHERS POST,
1942,ARCHERS POST,
1943,ARCHERS POST,
1944,ARCHERS POST,
1945,ARCHERS POST,
1946,ARCHERS POST,
1947,ARCHERS POST,
1948,ARCHERS POST,
1949,ARCHERS POST,
1950,ARCHERS POST,
1951,ARCHERS POST,
1952,ARCHERS POST,
1953,ARCHERS POST,
1954,ARCHERS POST,
1955,ARCHERS POST,
1956,ARCHERS POST,
1957,ARCHERS POST,375.3
1958,ARCHERS POST,263.3
1959,ARCHERS POST,399.2
1960,ARCHERS POST,242.6
1961,ARCHERS POST,847.6
1962,ARCHERS POST,276.5
1963,ARCHERS POST,712.8
1964,ARCHERS POST,366.3
1965,ARCHERS POST,188.6
1966,ARCHERS POST,478.4
1967,ARCHERS POST,539
1968,ARCHERS POST,682.5
1969,ARCHERS POST,392
1970,ARCHERS POST,192.5
1971,ARCHERS POST,286.8
1972,ARCHERS POST,349.4
1973,ARCHERS POST,276.4
1974,ARCHERS POST,188.8
1975,ARCHERS POST,147
1976,ARCHERS POST,150.7
1977,ARCHERS POST,403.7
1978,ARCHERS POST,449.9
1979,ARCHERS POST,264.2
1980,ARCHERS POST,225.6
1981,ARCHERS POST,305.7
1982,ARCHERS POST,481.9
1983,ARCHERS POST,195.8
1984,ARCHERS POST,222.7
1985,ARCHERS POST,272.4
1986,ARCHERS POST,319.2
1987,ARCHERS POST,303.6
1988,ARCHERS POST,391.8
1989,ARCHERS POST,390.8
1990,ARCHERS POST,578.7
1991,ARCHERS POST,259.2
1992,ARCHERS POST,282.9
1993,ARCHERS POST,238.9
1994,ARCHERS POST,338.7
1995,ARCHERS POST,346.4
1996,ARCHERS POST,179.3
1997,ARCHERS POST,824.2
1998,ARCHERS POST,441.4
1999,ARCHERS POST,275
2000,ARCHERS POST,142.2
2001,ARCHERS POST,281.6
2002,ARCHERS POST,640.5
2003,ARCHERS POST,382.2
2004,ARCHERS POST,485.6
2005,ARCHERS POST,214.6
2006,ARCHERS POST,463.2
2007,ARCHERS POST,337.5
2008,ARCHERS POST,416.3
2009,ARCHERS POST,264.4
2010,ARCHERS POST,364.9
2011,ARCHERS POST,403.4
2012,ARCHERS POST,375.8
2013,ARCHERS POST,282.7
2014,ARCHERS POST,318.6
2015,ARCHERS POST,380.4
2016,ARCHERS POST,242.9
1934,ARDENCAPLE FARM,
1935,ARDENCAPLE FARM,
1936,ARDENCAPLE FARM,
1937,ARDENCAPLE FARM,
1938,ARDENCAPLE FARM,
1939,ARDENCAPLE FARM,
1940,ARDENCAPLE FARM,
1941,ARDENCAPLE FARM,
1942,ARDENCAPLE FARM,
1943,ARDENCAPLE FARM,
1944,ARDENCAPLE FARM,
1945,ARDENCAPLE FARM,
1946,ARDENCAPLE FARM,
1947,ARDENCAPLE FARM,
1948,ARDENCAPLE FARM,599.4
1949,ARDENCAPLE FARM,439.5
1950,ARDENCAPLE FARM,
1951,ARDENCAPLE FARM,904.3
1952,ARDENCAPLE FARM,205.6
1953,ARDENCAPLE FARM,
1954,ARDENCAPLE FARM,618.3
1955,ARDENCAPLE FARM,
1956,ARDENCAPLE FARM,
1957,ARDENCAPLE FARM,575.1
1958,ARDENCAPLE FARM,701.6
1959,ARDENCAPLE FARM,448.4
1960,ARDENCAPLE FARM,520.7
1961,ARDENCAPLE FARM,1337.8
1962,ARDENCAPLE FARM,524
1963,ARDENCAPLE FARM,908.4
1964,ARDENCAPLE FARM,748.5
1965,ARDENCAPLE FARM,411.8
1966,ARDENCAPLE FARM,772.4
1967,ARDENCAPLE FARM,978.5
1968,ARDENCAPLE FARM,983
1969,ARDENCAPLE FARM,531.2
1970,ARDENCAPLE FARM,375.7
1971,ARDENCAPLE FARM,585.8
1972,ARDENCAPLE FARM,615.4
1973,ARDENCAPLE FARM,453
1974,ARDENCAPLE FARM,501.9
1975,ARDENCAPLE FARM,738.9
1976,ARDENCAPLE FARM,586.4
1977,ARDENCAPLE FARM,907.5
1978,ARDENCAPLE FARM,704.1
1979,ARDENCAPLE FARM,523.6
1980,ARDENCAPLE FARM,294.4
1981,ARDENCAPLE FARM,851.6
1982,ARDENCAPLE FARM,772.4
1983,ARDENCAPLE FARM,638.8
1984,ARDENCAPLE FARM,285.5
1985,ARDENCAPLE FARM,492.1
1986,ARDENCAPLE FARM,888.7
1987,ARDENCAPLE FARM,524.5
1988,ARDENCAPLE FARM,897.2
1989,ARDENCAPLE FARM,578.5
1990,ARDENCAPLE FARM,712.8
1991,ARDENCAPLE FARM,503
1992,ARDENCAPLE FARM,581.8
1993,ARDENCAPLE FARM,474.6
1994,ARDENCAPLE FARM,841.3
1995,ARDENCAPLE FARM,697.8
1996,ARDENCAPLE FARM,565.8
1997,ARDENCAPLE FARM,1160.3
1998,ARDENCAPLE FARM,767.2
1999,ARDENCAPLE FARM,400.4
2000,ARDENCAPLE FARM,384
2001,ARDENCAPLE FARM,521.2
2002,ARDENCAPLE FARM,563.5
2003,ARDENCAPLE FARM,621.2
2004,ARDENCAPLE FARM,688.5
2005,ARDENCAPLE FARM,495.8
2006,ARDENCAPLE FARM,696.6
2007,ARDENCAPLE FARM,658.799927
2008,ARDENCAPLE FARM,559.2999738
2009,ARDENCAPLE FARM,368.0999463
2010,ARDENCAPLE FARM,755.8999177
2011,ARDENCAPLE FARM,1012.799876
2012,ARDENCAPLE FARM,806.2999025
2013,ARDENCAPLE FARM,868.9999045
2014,ARDENCAPLE FARM,606.5999764
2015,ARDENCAPLE FARM,14.3
2016,ARDENCAPLE FARM,
1934,CASTLE FOREST STN,
1935,CASTLE FOREST STN,
1936,CASTLE FOREST STN,
1937,CASTLE FOREST STN,
1938,CASTLE FOREST STN,
1939,CASTLE FOREST STN,
1940,CASTLE FOREST STN,
1941,CASTLE FOREST STN,
1942,CASTLE FOREST STN,
1943,CASTLE FOREST STN,
1944,CASTLE FOREST STN,
1945,CASTLE FOREST STN,
1946,CASTLE FOREST STN,
1947,CASTLE FOREST STN,
1948,CASTLE FOREST STN,
1949,CASTLE FOREST STN,
1950,CASTLE FOREST STN,
1951,CASTLE FOREST STN,
1952,CASTLE FOREST STN,
1953,CASTLE FOREST STN,
1954,CASTLE FOREST STN,
1955,CASTLE FOREST STN,
1956,CASTLE FOREST STN,
1957,CASTLE FOREST STN,
1958,CASTLE FOREST STN,
1959,CASTLE FOREST STN,2055.8
1960,CASTLE FOREST STN,2008.1
1961,CASTLE FOREST STN,3227.4
1962,CASTLE FOREST STN,
1963,CASTLE FOREST STN,2767.2
1964,CASTLE FOREST STN,2046.5
1965,CASTLE FOREST STN,1903.5
1966,CASTLE FOREST STN,2364.4
1967,CASTLE FOREST STN,2511.8
1968,CASTLE FOREST STN,2910.4
1969,CASTLE FOREST STN,1948.8
1970,CASTLE FOREST STN,2742.9
1971,CASTLE FOREST STN,1662.8
1972,CASTLE FOREST STN,2591.1
1973,CASTLE FOREST STN,1897.7
1974,CASTLE FOREST STN,1706.9
1975,CASTLE FOREST STN,2028.4
1976,CASTLE FOREST STN,1456.5
1977,CASTLE FOREST STN,2682.3
1978,CASTLE FOREST STN,1950.3
1979,CASTLE FOREST STN,2193.3
1980,CASTLE FOREST STN,1349.6
1981,CASTLE FOREST STN,2125.6
1982,CASTLE FOREST STN,2957.5
1983,CASTLE FOREST STN,1817.8
1984,CASTLE FOREST STN,702.9
1985,CASTLE FOREST STN,2360.1
1986,CASTLE FOREST STN,2179
1987,CASTLE FOREST STN,1909.5
1988,CASTLE FOREST STN,3023.3
1989,CASTLE FOREST STN,2159.4
1990,CASTLE FOREST STN,2267.4
1991,CASTLE FOREST STN,2045.1
1992,CASTLE FOREST STN,1838.9
1993,CASTLE FOREST STN,1762.4
1994,CASTLE FOREST STN,1090.8
1995,CASTLE FOREST STN,1700.9
1996,CASTLE FOREST STN,1469.4
1997,CASTLE FOREST STN,2200.78
1998,CASTLE FOREST STN,2296.6
1999,CASTLE FOREST STN,1841.6
2000,CASTLE FOREST STN,1253.5
2001,CASTLE FOREST STN,1790.3
2002,CASTLE FOREST STN,2185.3
2003,CASTLE FOREST STN,1069.8
2004,CASTLE FOREST STN,
2005,CASTLE FOREST STN,1877.2
2006,CASTLE FOREST STN,2720.3
2007,CASTLE FOREST STN,929.4
2008,CASTLE FOREST STN,
2009,CASTLE FOREST STN,
2010,CASTLE FOREST STN,
2011,CASTLE FOREST STN,
2012,CASTLE FOREST STN,
2013,CASTLE FOREST STN,
2014,CASTLE FOREST STN,
2015,CASTLE FOREST STN,
2016,CASTLE FOREST STN,
1934,CHOGORIA FOREST STN,
1935,CHOGORIA FOREST STN,
1936,CHOGORIA FOREST STN,
1937,CHOGORIA FOREST STN,
1938,CHOGORIA FOREST STN,
1939,CHOGORIA FOREST STN,
1940,CHOGORIA FOREST STN,
1941,CHOGORIA FOREST STN,
1942,CHOGORIA FOREST STN,
1943,CHOGORIA FOREST STN,
1944,CHOGORIA FOREST STN,
1945,CHOGORIA FOREST STN,
1946,CHOGORIA FOREST STN,
1947,CHOGORIA FOREST STN,
1948,CHOGORIA FOREST STN,
1949,CHOGORIA FOREST STN,
1950,CHOGORIA FOREST STN,
1951,CHOGORIA FOREST STN,
1952,CHOGORIA FOREST STN,
1953,CHOGORIA FOREST STN,
1954,CHOGORIA FOREST STN,
1955,CHOGORIA FOREST STN,
1956,CHOGORIA FOREST STN,
1957,CHOGORIA FOREST STN,
1958,CHOGORIA FOREST STN,
1959,CHOGORIA FOREST STN,
1960,CHOGORIA FOREST STN,
1961,CHOGORIA FOREST STN,
1962,CHOGORIA FOREST STN,
1963,CHOGORIA FOREST STN,
1964,CHOGORIA FOREST STN,
1965,CHOGORIA FOREST STN,
1966,CHOGORIA FOREST STN,
1967,CHOGORIA FOREST STN,
1968,CHOGORIA FOREST STN,
1969,CHOGORIA FOREST STN,
1970,CHOGORIA FOREST STN,
1971,CHOGORIA FOREST STN,
1972,CHOGORIA FOREST STN,
1973,CHOGORIA FOREST STN,
1974,CHOGORIA FOREST STN,
1975,CHOGORIA FOREST STN,
1976,CHOGORIA FOREST STN,
1977,CHOGORIA FOREST STN,
1978,CHOGORIA FOREST STN,
1979,CHOGORIA FOREST STN,
1980,CHOGORIA FOREST STN,
1981,CHOGORIA FOREST STN,
1982,CHOGORIA FOREST STN,
1983,CHOGORIA FOREST STN,
1984,CHOGORIA FOREST STN,
1985,CHOGORIA FOREST STN,
1986,CHOGORIA FOREST STN,
1987,CHOGORIA FOREST STN,
1988,CHOGORIA FOREST STN,
1989,CHOGORIA FOREST STN,2367.2
1990,CHOGORIA FOREST STN,2916.2
1991,CHOGORIA FOREST STN,2159.5
1992,CHOGORIA FOREST STN,2091.9
1993,CHOGORIA FOREST STN,1936.7
1994,CHOGORIA FOREST STN,2894.2
1995,CHOGORIA FOREST STN,2730.3
1996,CHOGORIA FOREST STN,1410.4
1997,CHOGORIA FOREST STN,3257.75
1998,CHOGORIA FOREST STN,2615.15
1999,CHOGORIA FOREST STN,2005.05
2000,CHOGORIA FOREST STN,1382.4
2001,CHOGORIA FOREST STN,2095.6
2002,CHOGORIA FOREST STN,1294.8
2003,CHOGORIA FOREST STN,
2004,CHOGORIA FOREST STN,
2005,CHOGORIA FOREST STN,
2006,CHOGORIA FOREST STN,
2007,CHOGORIA FOREST STN,
2008,CHOGORIA FOREST STN,
2009,CHOGORIA FOREST STN,
2010,CHOGORIA FOREST STN,
2011,CHOGORIA FOREST STN,
2012,CHOGORIA FOREST STN,
2013,CHOGORIA FOREST STN,
2014,CHOGORIA FOREST STN,
2015,CHOGORIA FOREST STN,
2016,CHOGORIA FOREST STN,
1934,CHUKA FOREST STN,
1935,CHUKA FOREST STN,
1936,CHUKA FOREST STN,
1937,CHUKA FOREST STN,
1938,CHUKA FOREST STN,
1939,CHUKA FOREST STN,
1940,CHUKA FOREST STN,
1941,CHUKA FOREST STN,
1942,CHUKA FOREST STN,
1943,CHUKA FOREST STN,
1944,CHUKA FOREST STN,
1945,CHUKA FOREST STN,
1946,CHUKA FOREST STN,
1947,CHUKA FOREST STN,
1948,CHUKA FOREST STN,
1949,CHUKA FOREST STN,
1950,CHUKA FOREST STN,
1951,CHUKA FOREST STN,
1952,CHUKA FOREST STN,
1953,CHUKA FOREST STN,
1954,CHUKA FOREST STN,
1955,CHUKA FOREST STN,
1956,CHUKA FOREST STN,
1957,CHUKA FOREST STN,
1958,CHUKA FOREST STN,
1959,CHUKA FOREST STN,
1960,CHUKA FOREST STN,
1961,CHUKA FOREST STN,
1962,CHUKA FOREST STN,
1963,CHUKA FOREST STN,
1964,CHUKA FOREST STN,
1965,CHUKA FOREST STN,
1966,CHUKA FOREST STN,
1967,CHUKA FOREST STN,
1968,CHUKA FOREST STN,
1969,CHUKA FOREST STN,
1970,CHUKA FOREST STN,
