Station Name,Annual Mean Rainfall,Annual SD Rainfall,prev_x,prev_y,UTM_x,UTM_y,Note
ARCHERS POST,355.7416667,154.38169,351624.283,70807.012,351300,10065660,"UTM, 37 S"
ARDENCAPLE FARM,636.740616,226.3352323,306006.828,9696.368,305700,10004460,These look like they've been rounded off
CASTLE FOREST STN,2033.627234,555.5521223,311885.88,-44864.115,311700,9949860,
CHOGORIA FOREST STN,2225.510714,609.4755637,343375.885,-26140.191,343500,9968460,
CHUKA FOREST STN,1915.845556,453.1130813,344923.385,-34827.829,344700,9960060,
COLCHECCIO,450.0300105,178.8378828,255409.16,68804.307,255300,10062660,
DOL DOL DAO,518.6135135,215.8236113,295573.86,43649.45,295500,10038660,
EL KARAMA,705.2821337,233.3816853,266605.408,21860.415,266100,10016460,
EMBORI FARM,687.752435,164.2032171,316071.142,7766.903,315900,10002660,
EMBU MET STN,1235.69994,321.8814536,328296.589,-55517.866,327900,9939060,
ENASOIT FARM,564.55625,198.4969569,285614.156,26288.022,285300,10020660,
GATHIURU FOREST STN,931.261395,236.3761297,290496.978,-10743.906,290100,9983460,
HOMBE FOREST STN,934.6983018,307.3758419,290267.591,-38458.22,290100,9955860,
IRANGI FOREST STN,1750.95,554.5125126,331263.832,-38102.665,330900,9957060,
ISIOLO DAO,654.4267862,241.3639506,342591.808,39500.95,342300,10033860,
JACOBSON FARM,735.1669945,173.5712966,282214.515,-4472.858,282300,9990060,
JUNCTION (EWASO NAROK),446.7885714,192.4030631,260384.335,56118.819,260100,10051260,
KABARU FOREST STN,917.4563635,337.5002889,294393.108,-30783.867,294300,9963660,
KAGURU,1655.504706,627.2623406,313829.824,3225.582,,,This one is missing from Imfeld
KALALU (NRM),762.8290323,243.9986355,295548.955,9332.622,295500,10003860,
KAMWAKI FARM,622.0732991,235.52991,295459.123,15008.102,295500,10009260,
KARURI (NRM),796.9461538,267.0629283,313829.824,3225.582,313500,9997860,
KINAMBA MOW,810.1428571,149.6793173,201815.868,46867.185,201900,10041660,
KISIMA FARM,811.8456174,294.1015169,323860.751,12663.724,323700,10007460,
LAMURIA MET STN,727.0634146,161.1953718,263186.069,-13994.06,261900,9979860,
LARIAK FOREST STN,954.4771429,172.6758274,200582.168,36102.932,200100,10030860,
LOGILADO (NRM),717.7785714,304.4717094,,,309900,9999060,Imfeld 2016 Master's thesis
