,kc,LAI,stress,R,s,I,E,ET,T,L,dsdt,dos,doy
60,0.3,0.75,1.0,0.0,0.5281494975971082,0.0,0.3597060107501302,0.3597060107501302,0.0,0.0,-0.3597060107501302,1.0,60
61,0.3,0.75,1.0,0.0,0.5262602853557734,0.0,0.35032199254933355,0.35032199254933355,0.0,0.0,-0.35032199254933355,2.0,61
62,0.3,0.75,1.0,0.0,0.5244203589243168,0.0,0.341262610106208,0.341262610106208,0.0,0.0,-0.341262610106208,3.0,62
63,0.3,0.75,1.0,0.0,0.5226280132830027,0.0,0.33251391029637495,0.33251391029637495,0.0,0.0,-0.33251391029637495,4.0,63
64,0.3,0.75,1.0,0.0,0.5208816166953116,0.0,0.3240626550085367,0.3240626550085367,0.0,0.0,-0.3240626550085367,5.0,64
65,0.3,0.75,1.0,0.0,0.5191796069526198,0.0,0.3158962786849986,0.3158962786849986,0.0,0.0,-0.3158962786849986,6.0,65
66,0.3,0.75,1.0,0.0,0.5175204878418792,0.0,0.3080028487238596,0.3080028487238596,0.0,0.0,-0.3080028487238596,7.0,66
67,0.3,0.75,1.0,0.0,0.5159028258212707,0.0,0.30037102852741915,0.30037102852741915,0.0,0.0,-0.30037102852741915,8.0,67
68,0.3,0.75,1.0,0.0,0.5143252468899292,0.0,0.29299004299923886,0.29299004299923886,0.0,0.0,-0.29299004299923886,9.0,68
69,0.3,0.75,1.0,0.0,0.5127864336388828,0.0,0.2858496463085767,0.2858496463085767,0.0,0.0,-0.2858496463085767,10.0,69
70,0.3,0.75,1.0,0.0,0.5112851224712956,0.0,0.27894009175571594,0.27894009175571594,0.0,0.0,-0.27894009175571594,11.0,70
71,0.3,0.75,1.0,0.0,0.509820100980982,0.0,0.27225210358519863,0.27225210358519863,0.0,0.0,-0.27225210358519863,12.0,71
72,0.3,0.75,1.0,0.0,0.5083902054789589,0.0,0.2657768506062651,0.2657768506062651,0.0,0.0,-0.2657768506062651,13.0,72
73,0.3,0.75,1.0,0.0,0.5069943186585478,0.0,0.2595059214910202,0.2595059214910202,0.0,0.0,-0.2595059214910202,14.0,73
74,0.3,0.75,1.0,0.6600657925103712,0.5056313673902126,0.6600657925103712,0.2534313016310807,0.2534313016310807,0.0,0.0,-0.2534313016310807,15.0,74
75,0.3,0.75,1.0,0.0,0.5043003206379486,0.0,0.24754535144281475,0.24754535144281475,0.0,0.0,-0.24754535144281475,16.0,75
76,0.3,0.75,1.0,0.0,0.5030001874896145,0.0,0.2418407860198328,0.2418407860198328,0.0,0.0,-0.2418407860198328,17.0,76
77,0.3,0.75,1.0,0.0,0.5017300152941322,0.0,0.23631065603921955,0.23631065603921955,0.0,0.0,-0.23631065603921955,18.0,77
78,0.3,0.75,1.0,0.0,0.5004888878989682,0.0,0.23094832983515512,0.23094832983515512,0.0,0.0,-0.23094832983515512,19.0,78
79,0.3,0.75,1.0,0.0,0.49927592398176673,0.0,0.22574747656014515,0.22574747656014515,0.0,0.0,-0.22574747656014515,20.0,79
80,0.3,0.75,1.0,0.0,0.49809027547042145,0.0,0.2207020503600901,0.2207020503600901,0.0,0.0,-0.2207020503600901,21.0,80
81,0.3,0.75,1.0,0.0,0.49693112604626133,0.0,0.21580627549495812,0.21580627549495812,0.0,0.0,-0.21580627549495812,22.0,81
82,0.3,0.75,1.0,0.0,0.49579768972538446,0.0,0.2110546323418883,0.2110546323418883,0.0,0.0,-0.2110546323418883,23.0,82
83,0.3,0.75,1.0,0.0,0.4946892095135048,0.0,0.20644184422221326,0.20644184422221326,0.0,0.0,-0.20644184422221326,24.0,83
84,0.3,0.75,1.0,0.0,0.4936049561299848,0.0,0.2019628649981752,0.2019628649981752,0.0,0.0,-0.2019628649981752,25.0,84
85,0.3,0.75,1.0,0.0,0.49254422679701115,0.0,0.19761286738904837,0.19761286738904837,0.0,0.0,-0.19761286738904837,26.0,85
86,0.3,0.75,1.0,0.0,0.4915063440901359,0.0,0.1933872319600102,0.1933872319600102,0.0,0.0,-0.1933872319600102,27.0,86
87,0.3,0.75,1.0,7.872484585789477,0.49049065484664844,0.75,0.35845531575828266,0.35845531575828266,0.0,0.0,6.764029270031195,28.0,87
88,0.30357142857142855,0.75,1.0,8.921547793709761,0.5260160186598375,0.75,0.5813007623845903,0.768183058515922,0.18688229613133167,0.0,7.40336473519384,29.0,88
89,0.3214285714285714,0.75,0.7402934132203137,0.0,0.5648992368068639,0.0,0.5578405528639852,0.7253568895369319,0.16751633667294677,0.0,-0.7253568895369319,30.0,89
90,0.33928571428571425,0.75,0.7667482867611132,0.0,0.5610895892777834,0.0,0.5359859300964331,0.6852159586297933,0.14923002853336023,0.0,-0.6852159586297933,31.0,90
91,0.3571428571428571,0.75,0.792165747688835,2.191399814447109,0.5574907659656522,0.75,0.5587757870310008,0.7270692741143777,0.1682934870833769,0.0,0.7143305403327312,32.0,91
92,0.37499999999999994,0.75,0.7656774869218407,0.0,0.5612425019968115,0.0,0.5368575174593802,0.6868215270440751,0.14996400958469494,0.0,-0.6868215270440751,33.0,92
93,0.3928571428571428,0.75,0.7911373405924922,0.0,0.5576352460774623,0.0,0.5164228273865038,0.6490720085583226,0.13264918117181884,0.0,-0.6490720085583226,34.0,93
94,0.41071428571428564,0.75,0.815580546976872,0.0,0.5542262544358745,0.0,0.49735574941210847,0.6136417707043058,0.11628602129219735,0.0,-0.6136417707043058,35.0,94
