VARIETY,Raw_90_kg_bags,Min_90_kg_bags,Max_90_kg_bags,Avg_No_90_kg_bags,Tons,Avg_Tons,Unit,Yield_kg_acre,DTM_Raw,Min_DTM,Max_DTM,Avg_DTM
SC SIMBA61,40-44,40,44,42,,,90 kg bags / acre,3780,120-150,120,150,135
SC DUMA 43,30-32,30,32,31,,,90 kg bags / acre,2790,90,90,90,90
SC TWIGA 81,50-55,50,55,52.5,,,90 kg bags / acre,4725,180,180,180,180
KDV4,,,,,3-4,3.5,t/ha,1284.5,100-110,100,110,105
KDV2,,,,,3-4,3.5,t/ha,1284.5,100-110,100,110,105
KDV3,,,,,3-4,3.5,t/ha,1284.5,100-110,100,110,105
KH500-21A,28-32,28,32,30,,,90 kg bags / acre,2700,100-110,100,110,105
KH600-15A,33-47,33,47,40,8-10,9,t/ha,3600,145-148,145,148,146.5
KH500-43A,28-32,28,32,30,,,90 kg bags / acre,2700,100,100,100,100
KH631Q,35-40,35,40,37.5,,,90 kg bags / acre,3375,120-140,120,140,130
KH600-16A,35-48,35,48,41.5,7.8-10.5,9.15,t/ha,3735,140-180,140,180,160
KH500Q,35-40,35,40,37.5,,,90 kg bags / acre,3375,110-120,110,120,115
KH500-33A,35-40,35,40,37.5,,,90 kg bags / acre,3375,120-140,120,140,130
KH500-13A,35-40,35,40,37.5,,,90 kg bags / acre,3375,120-140,120,140,130
KH500-34A,,,,,6-8,7,t/ha,2569,150-180,150,180,165
KH500-33A,,,,,7,7,t/ha,2569,150-180,150,180,165
KH500-32A,,,,,6-8 ,7,t/ha,2569,150-180,150,180,165
KH500-21A,28-32,28,32,30,,,90 kg bags / acre,2700,100-110,100,110,105
H6218,56,56,56,56,,,90 kg bags / acre,5040,160-210,160,210,185
H6213,52,52,52,52,,,90 kg bags / acre,4680,160-210,160,210,185
H6210,50,50,50,50,,,90 kg bags / acre,4500,160-210,160,210,185
H629,48,48,48,48,,,90 kg bags / acre,4320,160-210,160,210,185
H628,46,46,46,46,,,90 kg bags / acre,4140,160-210,160,210,185
H626,42,42,42,42,,,90 kg bags / acre,3780,160-210,160,210,185
H625,40,40,40,40,,,90 kg bags / acre,3600,160-210,160,210,185
H624,32,32,32,32,,,90 kg bags / acre,2880,120-130,120,130,125
H614,38,38,38,38,,,90 kg bags / acre,3420,160-210,160,210,185
H520,32,32,32,32,,,90 kg bags / acre,2880,120-130,120,130,125
H516,28,28,28,28,,,90 kg bags / acre,2520,100-110,100,110,105
H515,26,26,26,26,,,90 kg bags / acre,2340,100-110,100,110,105
H513,24,24,24,24,,,90 kg bags / acre,2160,120-180,120,180,150
DH04,24,24,24,24,,,90 kg bags / acre,2160,80-120,80,120,100
DH03,22,22,22,22,,,90 kg bags / acre,1980,80-120,80,120,100
DH02,18,18,18,18,,,90 kg bags / acre,1620,70-100,70,100,85
DH01,16,16,16,16,,,90 kg bags / acre,1440,70-90,70,90,80
KH 517,30,30,30,30,,,90 kg bags / acre,2700,,,,
PAN 3M-01,,,,,3-5,4,t/ha,1468,95-100,95,100,97.5
WH 101,20-25,20,25,22.5,,,90 kg bags / acre,2025,90-120,90,120,105
WH507,32-36,32,36,34,,,90 kg bags / acre,3060,120-135,120,135,127.5
WH505,30-35,30,35,32.5,,,90 kg bags / acre,2925,120-150,120,150,135
WH403,30-35,30,35,32.5,,,90 kg bags / acre,2925,135-150,135,150,142.5
WH402,38-42,38,42,40,,,90 kg bags / acre,3600,135-165,135,165,150
