Year,JACOBSON FARM
1934,131.6
1935,219.79999999999995
1936,296.5999999999999
1937,270.4
1938,177.29999999999998
1939,172.89999999999998
1940,316.29999999999995
1941,302.5
1942,388.29999999999995
1943,176.10000000000002
1944,218.9
1945,140.29999999999998
1946,165.99999999999994
1947,316.79999999999995
1948,245.59999999999997
1949,225.29999999999995
1950,322.1999999999999
1951,349.50000000000006
1952,207.29999999999995
1953,242.69999999999996
1954,348.29999999999995
1955,268.0
1956,292.9
1957,390.0
1958,213.69999999999993
1959,230.39999999999992
1960,285.9
1961,318.69999999999993
1962,315.7
1963,399.79999999999995
1964,408.79999999999995
1965,179.99999999999997
1966,207.89999999999998
1967,240.29999999999998
1968,465.29999999999995
1969,279.6
1970,200.49999999999997
1971,241.19999999999996
1972,159.1
1973,160.20000000000002
1974,238.3
1975,371.3000000000001
1976,180.00000000000003
1977,378.0000000000001
1978,214.3
1979,251.10000000000005
1980,209.00000000000003
1981,404.40000000000003
1982,230.9
1983,236.8
1984,113.09999999999998
1985,300.1
1986,395.4999999999999
1987,157.40000000000003
1988,311.1
1989,228.6
1990,378.09999999999997
1991,160.4
1992,203.1
1993,182.0
1994,310.0
1995,373.0
1996,178.30800000000005
1997,357.88599999999997
1998,294.132
1999,157.48000000000002
2000,153.162
2001,190.24599999999998
2002,541.864
2003,334.2
2004,220.0
2005,254.000026
2006,176.00001099999997
2007,217.00001299999997
2008,232.00002399999997
2009,126.00000999999997
2010,342.0000369999999
2011,122.00001799999998
2012,384.0000309999999
2013,240.50001999999998
2014,243.50003299999997
